no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
no,Lutjanus,guttatus,Chordata,Actinopterygii,Perciformes,Lutjanidae,NA,365,1-3 years (Characteristics of population dynamics of Lutjanus guttatus (Pisces: Lutjanidae) in Bufadero Bay+ Michoacán+ Mexico),365,1-3 years (Characteristics of population dynamics of Lutjanus guttatus (Pisces: Lutjanidae) in Bufadero Bay+Michoacán+ Mexico),Y,10-100,LARVAL: PLD of 24.1-24.7 days (DOI: 10.3354/meps230295),,,80,TL male/unsexed -fishbase,,,,,,none,tropical fish (fishbase),non-migratory,"""groundfish with no extensive migration"" (10.3109/19401736.2015.1115851)",NA,NA,NA,unk,,Nikki,8395,23 years as tmax (https://www.redalyc.org/pdf/339/33913148009.pdf),
no,Poecilia,mexicana,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,NA,210,7-12 months (Fishbase),210,7-12 months (Fishbase),Y,unk,LARVAL: lecithotropic (https://doi.org/10.1890/09-1008.1),,,11,SL male/unsexed - fishbase ,,,,,,none,tropical fish (fishbase),non-migratory,IUCN Red List,NA,NA,NA,0.000032,home range defined as an 8x4 m field pool in an experiment (https://doi.org/10.1007/BF00005456),Nikki,1825,3-5 years but not the best source (http://www.theaquariumwiki.com/wiki/Poecilia_mexicana),
,Acris,crepitans,Chordata,Amphibia,Anura,NA,Adult,365,1 year (amphibio),365,1 year (amphibio),Y,1-10,moved up to 1.3km (amphibiaweb),,,3.8,SVL - amphibio,,,,,,winter,overwinter in microhabita+ active all year except midwinter in the north (amphibiaweb + ADW),non-migratory,taxa,NA,NA,NA,kunk,AmphibiaWeb,Nikki,1788.5,4.9 years max+ 4 month average (amphibio),
,Ambystoma,jeffersonianum,Chordata,Amphibia,Caudata,Ambystomatidae,Adult,730,2-3 years (amphibio),730,2-3 years (amphibio),Y,0-1,The original dispersal values aer 250–1+600 m. I selected the 0-1km dispersal distance caetgory to reflect that likely most dispersal is happening at distances < 1km. Source AMphiweb+ Douglas and Monroe 1981),,,21,TL - amphibio,,,,,,winter+dry,burrows below the frost line and during dry weather (AmphibiaWeb),non-migratory,taxa,NA,NA,NA,0,mean 92.8m distance travelled from breeding pool over 164 days+ used as radius (https://doi.org/10.1670/155-02A),Ilona/Nikki,2190,6 years or longer (https://animaldiversity.org/accounts/Ambystoma_jeffersonianum/),
,Ambystoma,macrodactylum,Chordata,Amphibia,Caudata,Ambystomatidae,adult,365,1-3 years (amphibio),365,1-3 years (amphibio),Y,1-10,Funk+ W. C. and Dunlap+ W. W. 1999. Colonization of high-elevation lakes by long-toed salamanders (Ambystoma macrodactylum ) after the extinction of introduced trout populations.   Can. J. Zool. 77: 1759 -1767,,,24.8,TL - amphibio+ 5.5 from (Russell+ A.P. and G.L. Powell and D.R. Hall. 1996. Growth and age of Alberta long-toed salamanders (Ambystoma macrodactylum krausei): a comparison of two methods of estimation. Canadian Journal of Zoology 74:397䳱412.),,,,,,winter,probably hibernate terrestrially (AmphibiaWeb),non-migratory,taxa,winter,NA,NA,0.0001156-0.0002816,115.6 m2 for females+ 167.5 m2 for males+ and 281.6 m2 for juveniles (amphibiaweb),Micky/Ilona/Nikki,3650,10 years max (amphibio),
,Ambystoma,maculatum,Chordata,Amphibia,Caudata,Ambystomatidae,unknown,730,2-3 years (amphibio),730,2-3 years (amphibio),Y,0-1,Madison+ D. M. 1997. The emigration of radio-implanted spotted salamanders+ Ambystoma maculatum .  J. Herpetol. 31: 542 -551.,,,24.8,TL - amphibio,,,,,,winter+hot,hibernate in subterranean burrows and likely keep from freezing by moving below the frost line+ above their critical thermal maximum (34.9–35.8 ˚C; Gatz+ 1971+ 1973b) and will usually seek refuge from heat and desiccation in small mammal burrows (amphibiaweb),non-migratory,taxa,winter,NA,NA,0.000008-0.0000015 ,8-15m2 (https://animaldiversity.org/accounts/Ambystoma_maculatum/),Micky/Ilona/Nikki,11680,32 years max (amphibio) - AmphibiaWeb,
,Ambystoma,tigrinum,Chordata,Amphibia,Caudata,NA,larva,1460,AnAge,1460,AnAge,,0-1,longest recorded distance moved from a wetland is 229 m+ all movements within 300m in capture-recapture experiment (Amphibiaweb + DOI: 10.2307/1447434),,,33,TL - amphibio,,,,,,winter,overwinter by burrowing below the frost line (AmphibiaWeb),non-migratory,taxa,NA,NA,NA,0.071,kunk by amphibiaweb+ less than 300m in radius based on (DOI: 10.2307/1447434),Ilona/Nikki,9125,25 years max (Nigrelli 1954+ Petranka 1998; AmphibiaWeb),
no,Lagopus,lagopus,Chordata,Aves,Galliformes,Phasianidae,adult,365,AnAge,365,AnAge,,10-100,"MOVEMENT: maximum movement recorded in study over 4 seasons was 12+000m of a juvenile and adults show site fidelity once territory established (https://doi.org/10.1111/j.1365-2664.2005.01031.x)
another study found max 39km (https://doi.org/10.1002/jwmg.650)",,,43,28-43cm long (https://animaldiversity.org/accounts/Lagopus_lagopus/),,,,,,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.02-0.12,defend a small breeding area of 2–12 ha once adult (https://doi.org/10.1111/j.1365-2664.2005.01031.x),Brad/Ilona/Nikki,3285,AnAge/Fransson et al. (2010) EURING list of longevity records for European birds,
no,Laudakia,stellio,Chordata,Lepidosauria,Squamata,Agamidae,unknown,730,2-3 years (Ergül Kalayci+ Tuba & Özdemir+ Nurhayat & Gül+ Çiğdem & Tosunoğlu+ Murat. (2014). Variation in Body Size and Age Structure of Stellagama stellio (L.+ 1758) (Reptilia: Agamidae) from Turkey. Acta Zoologica Bulgarica. 66. 65-72. ),730,2-3 years (Ergül Kalayci+ Tuba & Özdemir+ Nurhayat & Gül+ Çiğdem & Tosunoğlu+ Murat. (2014). Variation in Body Size and Age Structure of Stellagama stellio (L.+ 1758) (Reptilia: Agamidae) from Turkey. Acta Zoologica Bulgarica. 66. 65-72. ),Y,unk,could guess based on limited movement in behaviour (https://doi.org/10.1080/09397140.2013.810875),,,13.314,SVL (Ergül Kalayci+ Tuba & Özdemir+ Nurhayat & Gül+ Çiğdem & Tosunoğlu+ Murat. (2014). Variation in Body Size and Age Structure of Stellagama stellio (L.+ 1758) (Reptilia: Agamidae) from Turkey. Acta Zoologica Bulgarica. 66. 65-72. ),8.624-13.043,SVL (Ergül Kalayci+ Tuba & Özdemir+ Nurhayat & Gül+ Çiğdem & Tosunoğlu+ Murat. (2014). Variation in Body Size and Age Structure of Stellagama stellio (L.+ 1758) (Reptilia: Agamidae) from Turkey. Acta Zoologica Bulgarica. 66. 65-72. ),9.005-13.314,SVL (Ergül Kalayci+ Tuba & Özdemir+ Nurhayat & Gül+ Çiğdem & Tosunoğlu+ Murat. (2014). Variation in Body Size and Age Structure of Stellagama stellio (L.+ 1758) (Reptilia: Agamidae) from Turkey. Acta Zoologica Bulgarica. 66. 65-72. ),,none,no dormancy reported,non-migratory,not many lizards migrate and seeminly fewer more than 10km (https://doi.org/10.1007/s00360-009-0415-8),NA,NA,NA,unk,,Nikki,3650,10 years max (https://s3.amazonaws.com/academia.edu.documents/39486774/Variation_in_Body_Size_and_Age_Structure20151028-29725-jbqwzu.pdf?response-content-disposition=inline%3B%20filename%3DVariation_in_Body_Size_and_Age_Structure.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20200127%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200127T171058Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=f918a1306b0966523d1cb215bf8831a8043131a97d4022cc971f7d9a751b1c60),
no,Anolis,cybotes,Chordata,Lepidosauria,Squamata,Iguanidae,adults,unk,45mm (http://www.anoleannals.org/wp-content/uploads/2011/06/licht-and-gorman-1970-u-of-ca-zool.pdf),unk,52mm (http://www.anoleannals.org/wp-content/uploads/2011/06/licht-and-gorman-1970-u-of-ca-zool.pdf),,0-1,MOVEMENT: little movement within home range and scape behaviour movement a few m (https://www.researchgate.net/profile/Robert_Powell6/publication/289169020_Natural_history_of_Anolis_cybotes_Sauria_Polychridae_from_an_altered_habitat_in_Barahona_Dominican_Republic/links/5ada3ea6a6fdcc2935884957/Natural-history-of-Anolis-cybotes-Sauria-Polychridae-from-an-altered-habitat-in-Barahona-Dominican-Republic.pdf),,,20.3,20.3cm SVL (A Field Guide to Reptiles & Amphibians: Eastern and Central North America By Roger Conant+ Joseph T. Collins),4.8,SVL (https://doi.org/10.1098/rspb.2009.2323),6.09,SVL (https://doi.org/10.1098/rspb.2009.2323),,none,no dormancy reported,non-migratory,none mentioned in life history (https://www.researchgate.net/profile/Robert_Powell6/publication/289169020_Natural_history_of_Anolis_cybotes_Sauria_Polychridae_from_an_altered_habitat_in_Barahona_Dominican_Republic/links/5ada3ea6a6fdcc2935884957/Natural-history-of-Anolis-cybotes-Sauria-Polychridae-from-an-altered-habitat-in-Barahona-Dominican-Republic.pdf),NA,NA,NA,0.00001928,19.28 m2 (https://www.researchgate.net/profile/Robert_Powell6/publication/289169020_Natural_history_of_Anolis_cybotes_Sauria_Polychridae_from_an_altered_habitat_in_Barahona_Dominican_Republic/links/5ada3ea6a6fdcc2935884957/Natural-history-of-Anolis-cybotes-Sauria-Polychridae-from-an-altered-habitat-in-Barahona-Dominican-Republic.pdf),Nikki,unk,,
no,Anolis,krugi,Chordata,Lepidosauria,Squamata,Iguanidae,males_adults,unk,39.4mm SVL (https://doi.org/10.2307/1935223),unk,,,10-100,GENETIC: seems gene flow can occur over 50km but not over 100km based on clades (https://doi.org/10.1111/j.1365-294X.2010.04616.x),,,unk,,3.6,SVL (https://www.fs.usda.gov/detail/elyunque/learning/nature-science/?cid=fsbdev3_042903) - could not find better source,4.5,SVL (https://www.fs.usda.gov/detail/elyunque/learning/nature-science/?cid=fsbdev3_042903) - could not find better source,,none,no dormancy reported,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
no,Anolis,pulchellus,Chordata,Lepidosauria,Squamata,Iguanidae,males_adults,unk,,unk,,,0-1,"MOVEMENT: ""little vagility"" with very high recapture within 20m2 (DOI: 10.2307/1563250)",,,unk,,4.571,SVL (doi:10.1016/j.zool.2006.06.001),4.571,SVL (doi:10.1016/j.zool.2006.06.001),Y,none,no dormancy reported,non-migratory,taxa,NA,NA,NA,0.00005,less than 20m2 (DOI: 10.2307/15632500,Nikki,unk,,
no,Anolis,semilineatus,Chordata,Lepidosauria,Squamata,Iguanidae,adults,unk,,unk,,,unk,,,,4,SVL 40 mm - maximum of a museum set of samples+ pg 131 (Cochran+ D. M. (1941). The herpetology of Hispaniola. Bulletin of the United States National Museum.),,,,,,none,no dormancy reported,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
no,Cophosaurus,texanus,Chordata,Lepidosauria,Squamata,Iguanidae,adult,50,reproduce when they reach 50mm (Ballinger+ R.+ E. Tyler+ D. Tinkle. 1972. Reproductive ecology of a west Texas population of the greater earless lizard+ Cophosaurus texanus. The American Midland Naturalist+ 88/2: 419-428.) and growth conversion from (Sugg+ D.+ L. Fitzgerald+ H. Snell. 1995. Growth rate+ timing of reproduction+ and size dimorphism in the southwestern earless lizard (Cophosaurus texanus scitulus). The Southwestern Naturalist+ 40/2: 193-202.),30,58-74mm when they produce sperm (Schrank+ G.+ R. Ballinger. 1973. Male reproductive cycles in two species of lizards (Cophosaurus texanus and Cnemidophorus gularis). Herpetologica+ 29/3: 289-293.)+ conversion from (Sugg+ D.+ L. Fitzgerald+ H. Snell. 1995. Growth rate+ timing of reproduction+ and size dimorphism in the southwestern earless lizard (Cophosaurus texanus scitulus). The Southwestern Naturalist+ 40/2: 193-202.) ,,0-1,MOVEMENT: usually remained near the same vicinity as original capture site+ transect size not specified but one contained 9 traps 20m apart so probably around 100x100m (https://science.utep.edu/bridges/images/PDFs/Carbajal+%20Mickey.pdf),,,8.8,SVL male (William G. Degenhardt+ Charles W. Painter+ Andrew H. Price. Amphibians and Reptiles of New Mexico. 2005. p507),6.2,SVL (William G. Degenhardt+ Charles W. Painter+ Andrew H. Price. Amphibians and Reptiles of New Mexico. 2005. p507),6.89,SVL (William G. Degenhardt+ Charles W. Painter+ Andrew H. Price. Amphibians and Reptiles of New Mexico. 2005. p507),,Oct - Mar,hibernation (Sugg+ D.+ L. Fitzgerald+ H. Snell. 1995. Growth rate+ timing of reproduction+ and size dimorphism in the southwestern earless lizard (Cophosaurus texanus scitulus). The Southwestern Naturalist+ 40/2: 193-202.),non-migratory,no mention in life history (DOI: 10.2307/1446538),NA,NA,NA,0.1943-0.263,Table 2 (https://doi.org/10.1016/j.zool.2007.04.001),Nikki,540,maximum (Sugg+ D.+ L. Fitzgerald+ H. Snell. 1995. Growth rate+ timing of reproduction+ and size dimorphism in the southwestern earless lizard (Cophosaurus texanus scitulus). The Southwestern Naturalist+ 40/2: 193-202.),
no,Dipsosaurus,dorsalis,Chordata,Lepidosauria,Squamata,Iguanidae,adult,930,31-33 months (C. O'Neil Krekorian. (1984). Life History of the Desert Iguana+ Dipsosaurus dorsalis. Herpetologica+ 40(4)+ 415-424),930,31-33 months (C. O'Neil Krekorian. (1984). Life History of the Desert Iguana+ Dipsosaurus dorsalis. Herpetologica+ 40(4)+ 415-424),Y,0-1,MOVEMENT: based on capture-recapture+ 92% within 40m of original home range (C. O'Neil Krekorian. (1984). Life History of the Desert Iguana+ Dipsosaurus dorsalis. Herpetologica+ 40(4)+ 415-424),,,13.5,SVL (Hulse+ A. C. (1992). Dipsosaurus+ D. dorsalis. Catalogue of American Amphibians and Reptiles (CAAR)),13,SVL (https://animaldiversity.org/accounts/Dipsosaurus_dorsalis/#893F759A-9E61-4D79-BB6A-FE5D2FE24A61),13,SVL (https://animaldiversity.org/accounts/Dipsosaurus_dorsalis/#893F759A-9E61-4D79-BB6A-FE5D2FE24A61),Y,Oct - Mar,hibernation (Moberly+ W. R. 1963. Hibernation in the desert iguana+ Dipsosaurus dorsalis. Physiol. Zool. 36:152-160.),non-migratory,no mention in life history (https://www.jstor.org/stable/3892094),NA,NA,NA,0.00126,92% within 40m of original home range+ used as linear home range (diameter) (C. O'Neil Krekorian. (1984). Life History of the Desert Iguana+ Dipsosaurus dorsalis. Herpetologica+ 40(4)+ 415-424),Nikki,5329,14.6 years in captivity (AnAge),
