intratherm_id,extractor,ref,original_compilation,genus_species,population_id,acclim_temp,latitude,longitude,coordinates_source,genus_from_study,species_from_study,location_description,realm_general3,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage.x,phylum.x,class.x,order.x,family.x,realm_specific,realm_general,notes.x,n_cat,record_number,record,acclim_time_life_120,log_acclim_time,safety,log_elevation,elev_min,iucn_2104risk,rate_acclimation_c_day,weight_g,realm_general2,acclim_time_original,acclim_time_units,trophic_position,source_logic_for_trophic_position,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,highland_specialist,source_logic_for_highland_specialist,no_acclimation,genus,species,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity.days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km...migratory.only.,season_when_away_100km...migratory.only.,logic_source_season_when_away,data_gatherer,Home.range.size_Km2,logic.source_for_Home.range.size,lifespan_days,lifespan_days_reference,Notes
1,NA,Graham 1971,Comte,Abudefduf saxatilis,Abudefduf saxatilis_9.66,28,9.66,-79.34,,Abudefduf,saxatilis,Atlantic Panama,Aquatic,NA,39.3,tmax,0.26,SD,13,lethal,death,0.0383,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pomacentridae,NA,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abudefduf,saxatilis,Actinopterygii,Perciformes,Pomacentridae,NA,1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),Y,10-100,LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659),NA,NA,22.9,TL male/unsexed -fishbase,15,SL male/unsexed -fishbase,15,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,Nikki,unk,NA,1825,2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis),NA
2,NA,Heath 1967,Comte,Abudefduf saxatilis,Abudefduf saxatilis_31.29,16.34,31.29,-113.54,,Abudefduf,saxatilis,Gulf of California near Puerto Penasco Sonora Mexico,Aquatic,NA,34.3,tmax,0.54,SD,10,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pomacentridae,NA,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abudefduf,saxatilis,Actinopterygii,Perciformes,Pomacentridae,NA,1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),Y,10-100,LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659),NA,NA,22.9,TL male/unsexed -fishbase,15,SL male/unsexed -fishbase,15,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,Nikki,unk,NA,1825,2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis),NA
3,NA,Heath 1967,Comte,Abudefduf saxatilis,Abudefduf saxatilis_31.29,24.1,31.29,-113.54,,Abudefduf,saxatilis,Gulf of California near Puerto Penasco Sonora Mexico,Aquatic,NA,39.9,tmax,0.26,SD,14,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pomacentridae,NA,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abudefduf,saxatilis,Actinopterygii,Perciformes,Pomacentridae,NA,1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),Y,10-100,LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659),NA,NA,22.9,TL male/unsexed -fishbase,15,SL male/unsexed -fishbase,15,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,Nikki,unk,NA,1825,2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis),NA
4,NA,Heath 1967,Comte,Abudefduf saxatilis,Abudefduf saxatilis_31.29,30,31.29,-113.54,,Abudefduf,saxatilis,Gulf of California near Puerto Penasco Sonora Mexico,Aquatic,10,41.3,tmax,0.2,SD,8,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pomacentridae,NA,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,10,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abudefduf,saxatilis,Actinopterygii,Perciformes,Pomacentridae,NA,1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),Y,10-100,LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659),NA,NA,22.9,TL male/unsexed -fishbase,15,SL male/unsexed -fishbase,15,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,Nikki,unk,NA,1825,2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis),NA
5,NA,Heath 1967,Comte,Abudefduf saxatilis,Abudefduf saxatilis_31.29,35,31.29,-113.54,,Abudefduf,saxatilis,Gulf of California near Puerto Penasco Sonora Mexico,Aquatic,10,41.6,tmax,0.13,SD,10,critical,LOE,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pomacentridae,NA,Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marine,10,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abudefduf,saxatilis,Actinopterygii,Perciformes,Pomacentridae,NA,1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),Y,10-100,LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659),NA,NA,22.9,TL male/unsexed -fishbase,15,SL male/unsexed -fishbase,15,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,Nikki,unk,NA,1825,2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis),NA
6,NA,Ziegeweid et al. 2008,Comte,Acipenser brevirostrum,Acipenser brevirostrum_32.89,19.5,32.89,-84.67,,Acipenser,brevirostrum,Warm Springs Georgia US,Aquatic,7,34.8,tmax,0.57,SD,32,lethal,death,0.1,NA,NA,NA,NA,NA,juveniles,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
7,NA,Ziegeweid et al. 2008,Comte,Acipenser brevirostrum,Acipenser brevirostrum_32.89,24.1,32.89,-84.67,,Acipenser,brevirostrum,Warm Springs Georgia US,Aquatic,7,36.1,tmax,0.57,SD,32,lethal,death,0.1,NA,NA,NA,NA,NA,juveniles,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
8,NA,Ziegeweid et al. 2008,Comte,Acipenser brevirostrum,Acipenser brevirostrum_32.89,19.5,32.89,-84.67,,Acipenser,brevirostrum,Warm Springs Georgia US,Aquatic,7,33.7,tmax,1.62,SD,29,critical,LOE,0.1,NA,NA,NA,NA,NA,juveniles,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
9,NA,Ziegeweid et al. 2008,Comte,Acipenser brevirostrum,Acipenser brevirostrum_32.89,24.1,32.89,-84.67,,Acipenser,brevirostrum,Warm Springs Georgia US,Aquatic,7,35.1,tmax,1.13,SD,32,critical,LOE,0.1,NA,NA,NA,NA,NA,juveniles,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
10,NA,Zhang & Kieffer 2014,Comte,Acipenser brevirostrum,Acipenser brevirostrum_45.3,10,45.3,-66.13,,Acipenser,brevirostrum,Carter's Point Kingston New Brunswick Canada,Aquatic,NA,27.6,tmax,0.35,SD,8,critical,LOE,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenseridae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,brevirostrum,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),NA,10-100,GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer),NA,NA,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer,Nikki,3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),24455,32-67 years max (IUCN),NA
