num,reference,in_text
1,"Abecasis, D., Bentes, L., & Erzini, K. (2009). Home range, residency and movements of Diplodus sargus and Diplodus vulgaris in a coastal lagoon: Connectivity between nursery and adult habitats. Estuarine, Coastal and Shelf Science, 85(4), 525–529. https://doi.org/10.1016/j.ecss.2009.09.001"," Abecasis et al., 2009"
2,"Ackley, S. F., & Hargrove, J. W. (2017). A dynamic model for estimating adult female mortality from ovarian dissection data for the tsetse fly Glossina pallidipes Austen sampled in Zimbabwe. PLoS Neglected Tropical Diseases. https://doi.org/10.1371/journal.pntd.0005813"," Ackley & Hargrove, 2017"
3,"Al‐Daham, N. K., & Wahab, N. K. (1991). Age, growth and reproduction of the greenback mullet, Liza subviridis (Valenciennes), in an estuary in Southern Iraq. Journal of Fish Biology, 38(1), 81–88. https://doi.org/10.1111/j.1095-8649.1991.tb03093.x"," Al‐Daham & Wahab, 1991"
4,"Ala-Honkola, O., Friman, E., & Lindström, K. (2011). Costs and benefits of polyandry in a placental poeciliid fish Heterandria formosa are in accordance with the parent-offspring conflict theory of placentation. Journal of Evolutionary Biology, 24(12), 2600–2610. https://doi.org/10.1111/j.1420-9101.2011.02383.x"," Ala-Honkola et al., 2011"
5,AlgaeBase. (2006). Choice Reviews Online. https://doi.org/10.5860/choice.43sup-0266," AlgaeBase, 2006"
6,"Alldredge, P., Gutierrez, M., Duvernell, D., Schaefer, J., Brunkow, P., & Matamoros, W. (2011). Variability in movement dynamics of topminnow (Fundulus notatus and F. olivaceus) populations. Ecology of Freshwater Fish, 20(4), 513–521. https://doi.org/10.1111/j.1600-0633.2011.00499.x"," Alldredge et al., 2011"
7,"Allen, K. R. (1935). The Food and Migration of the Perch (Perca fluviatilis) in Windermere. The Journal of Animal Ecology, 4(2), 264. https://doi.org/10.2307/1016"," Allen, 1935"
8,AmphibiaWeb. (2020). University of California. http://amphibiaweb.org,"AmphibiaWeb, 2020"
9,"Andrews, R. M. (1998). Geographic variation in field body temperature of Sceloporus lizards. Journal of Thermal Biology, 23(6), 329–334. https://doi.org/10.1016/S0306-4565(98)00018-7"," Andrews, 1998"
10,"Myers, P., Espinosa, R., Parr, C. S., Jones, T., Hammond, G. S., & Dewey, T. A. (2015). The Animal Diversity Web (online). http://animaldiversity.org","Meyers et al., 2015"
11,"Ashton, R. E., & Ashton, P. S. (1978). Movements and Winter Behavior of Eurycea bislineata (Amphibia, Urodela, Plethodontidae). Journal of Herpetology, 12(3), 295. https://doi.org/10.2307/1563609"," Ashton & Ashton, 1978"
12,"Aukema, B. (1995). The evolutionary significance of wing dimorphism in carabid beetles (Coleoptera: Carabidae). Researches on Population Ecology, 37(1). https://doi.org/10.1007/BF02515767"," Aukema, 1995"
13,"Avery, R. A. (1975). Age‐structure and longevity of Common lizard (Lacerta vivipara) populations. Journal of Zoology, 176(4). https://doi.org/10.1111/j.1469-7998.1975.tb03221.x"," Avery, 1975"
14,"Backhouse-James, S. M., & Docker, M. F. (2012). Microsatellite and mitochondrial DNA markers show no evidence of population structure in walleye (Sander vitreus) in Lake Winnipeg. Journal of Great Lakes Research, 38(SUPPL. 3), 47–57. https://doi.org/10.1016/j.jglr.2011.05.005"," Backhouse-James & Docker, 2012"
15,"Baer, C. F. (1998). Population structure in a south-eastern US freshwater fish, Heterandria formosa. II. Gene flow and biogeography within the St. Johns River drainage. Heredity, 81(4), 404–411. https://doi.org/10.1046/j.1365-2540.1998.00410.x"," Baer, 1998"
16,"Baker, A. L. et al. (2012). Phycokey -- an image based key to Algae (PS Protista), Cyanobacteria, and other aquatic objects. University of New Hampshire Center for Freshwater Biology.","A. L. Baker et al., 2012"
17,"Baker, S., & Lauck, B. (2006). Association of common brown froglets, Crinia signifera, with clearcut forest edges in Tasmania, Australia. Wildlife Research, 33(1), 29–34. https://doi.org/10.1071/WR04120"," S. Baker & Lauck, 2006"
18,"Ballinger, R. E., Tyler, E. D., & Tinkle, D. W. (1972). Reproductive Ecology of a West Texas Population of the Greater Earless Lizard, Cophosaurus texanus. American Midland Naturalist. https://doi.org/10.2307/2424366"," Ballinger et al., 1972"
19,"Balsano, J. S., Randle, E. J., Rasch, E. M., & Monaco, P. J. (1985). Reproductive behavior and the maintenance of all-female Poecilia. Environmental Biology of Fishes, 12(4), 251–263. https://doi.org/10.1007/BF00005456"," Balsano et al., 1985"
20,"Balston, J. (2009). Short-term climate variability and the commercial barramundi (Lates calcarifer) fishery of north-east Queensland, Australia. Marine and Freshwater Research. https://doi.org/10.1071/MF08283"," Balston, 2009"
21,"Bano, N., DeRae Smith, A., Bennett, W., Vasquez, L., & Hollibaugh, J. T. (2007). Dominance of Mycoplasma in the guts of the Long-Jawed Mudsucker, Gillichthys mirabilis, from five California salt marshes. Environmental Microbiology, 9(10), 2636–2641. https://doi.org/10.1111/j.1462-2920.2007.01381.x"," Bano et al., 2007"
