genus_species,population_id,acclim_temp,latitude,longitude,genus.x,species.x,location_description,realm_general3,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,ref,life_stage.x,phylum.x,class.x,order.x,family.x,realm_specific,realm_general,notes.x,extractor,original_compilation,n_cat,record_number,record,family1,family2,genus2,species2,family3,genus3,species3,n_comment,raw_ctm2,acclim,acclim_time_life_120,log_acclim_time,safety,photoperiod,ep1,ep2,elevation,log_elevation,geog_cat,abs_lat,log_abs_lat,source,comments,year,citation,range,log_range,introduced,elev_min,elev_max,svl,log_svl,tmxslope,bioclim5,iucn_2014,iucn_2104risk,sampling_habitat,acclimation,rate_acclimation_c_day,methodology,length_experiment_min,body_length_mm,weight_g,phylogeny,reference,realm_general2,acclim_time_original,acclim_time_units,no_acclimation,genus.y,species.y,phylum.y,class.y,order.y,family.y,life_stage.y,season_inactive,logic_source_for_season_inactive,season_when_away_migratory_only,logic_source_season_when_away,maturity_sex,age_maturity_days,maturity_days_reference,maturity_days2,maturity_days2_reference,lifespan_days,lifespan_days_reference,data_gatherer,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,home_range_size_km2,logic_source_for_home_range_size,migratory,source_logic_for_migration_info,x29,realm,kingdom,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,trophic_position,source_logic_for_trophic_position,x36,x37,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,hot_season_dormancy,source_logic_for_hot_season_dormancy,highland_specialist,pelagic_habitat_for_marine_species,source_logic_for_highland_specialist,notes.y,orig_genus,orig_species,terrestriality_available_for_mammals_only_see_pan_theria_metadata,pantheria05genus,pantheria05species,pantheria93genus,pantheria93species,all_pantheria_synonyms05,pantheria_references,binary_name,try_species_number_for_plants,notes_on_body_size_e_g_type_of_metric
Gasterosteus aculeatus,Gasterosteus aculeatus_37.327481,8,37.327481,-113.705435,Gasterosteus,aculeatus,Santa Clara River,Aquatic,23,30.5,tmax,NA,NA,10,critical,opercula_ceased,0.25,NA,NA,held,NA,NA,Feldmeth_&_Baskin_1976,adult,Chordata,Actinopteri,Perciformes,Gasterosteidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,23d,days,"potential drop this species, one population is a subspecies",Gasterosteus,aculeatus,Chordata,Actinopterygii,Perciformes,Gasterosteidae,adult,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gasterosteus aculeatus,Gasterosteus aculeatus_37.327481,22.7,37.327481,-113.705435,Gasterosteus,aculeatus,Santa Clara River,Aquatic,23,34.6,tmax,NA,NA,10,critical,opercula_ceased,0.25,NA,NA,held,NA,NA,Heath_1963,adult,Chordata,Actinopteri,Perciformes,Gasterosteidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,23d,days,"potential drop this species, one population is a subspecies",Gasterosteus,aculeatus,Chordata,Actinopterygii,Perciformes,Gasterosteidae,adult,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,NA,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.44,tmax,0.06,SE,39,critical,loss_coordination,0.4,NA,6h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,NA,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.53,tmax,0.07,SE,40,critical,loss_coordination,0.4,NA,12h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,NA,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.77,tmax,0.04,SE,65,critical,loss_coordination,0.4,NA,24h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,NA,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.66,tmax,0.05,SE,28,critical,loss_coordination,0.4,NA,36h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,NA,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.59,tmax,0.05,SE,40,critical,loss_coordination,0.4,NA,48h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,10,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,27.63,tmax,0.08,SE,29,critical,loss_coordination,0.4,NA,12h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,15,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.06,tmax,0.05,SE,90,critical,loss_coordination,0.4,NA,12h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhynchus clarkii,Oncorhynchus clarkii_48.810782,20,48.810782,-121.882818,Oncorhynchus,clarkii,"Nooksack River, Whatcom County, Washington, USA",Aquatic,7,29.88,tmax,0.09,SE,64,critical,loss_coordination,0.4,NA,12h,15,winter,NA,Heath_1963,adult,Chordata,Actinopteri,Salmoniformes,Salmonidae,river,freshwater,NA,SO,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,7d,days,NA,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",NA,freshwater,NA,99,animaldiversity.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
