population_id,mean_max_temp
Abudefduf saxatilis_31.29_NA,40.76396217128127
Abudefduf saxatilis_9.66_NA,NA
Acipenser brevirostrum_32.89_NA,36.20649846844373
Acipenser brevirostrum_45.3_NA,29.285156696849278
Acris crepitans_37.626_NA,36.46692904622309
Acris crepitans_40.514_NA,35.35408903124973
Acris crepitans_42.779_NA,36.08003112317058
Agosia chrysogaster_32.874_NA,39.55944479035541
Agosia chrysogaster_33.08_NA,34.14651102681787
Alosa pseudoharengus_42.08_NA,31.019257700235638
Alosa pseudoharengus_42.865433_NA,31.826808062277387
Alosa pseudoharengus_43.49_NA,31.015143654652732
Ambassis ambassis_-30.86_NA,NA
Ambassis ambassis_11.49_NA,NA
Ambloplites rupestris_36.94_NA,31.11886653721619
Ambloplites rupestris_42.08_NA,31.019257700235638
Ambystoma jeffersonianum_39.289_NA,34.90131106305749
Ambystoma jeffersonianum_39.424_NA,34.53035441387286
Ambystoma jeffersonianum_40.203_NA,33.13180546955108
Ambystoma jeffersonianum_47.165_NA,32.52137780527169
Ambystoma macrodactylum_44.881_1140,35.2175934008424
Ambystoma macrodactylum_45.593_2470,33.94967937880155
Ambystoma macrodactylum_46.4_420,35.40785661133113
Ambystoma maculatum_35.994_NA,35.86434505863871
Ambystoma maculatum_36.022_NA,35.38889769594465
Ambystoma maculatum_36.026_NA,35.07024337733105
Ambystoma maculatum_39.87_NA,36.004450149086544
Ambystoma maculatum_40.203_NA,33.13180546955108
Ambystoma tigrinum_32.32_NA,37.91232110042272
Ambystoma tigrinum_33.126_NA,35.38597136633655
Ambystoma tigrinum_37.722_NA,36.46692904622309
Ambystoma tigrinum_40.841_NA,37.49968926999528
Ambystoma tigrinum_44.996399_NA,33.79467217696926
Ameiurus catus_38.28_NA,34.128604856456214
Ameiurus catus_41.24_NA,33.58002854126249
Ameiurus melas_38.34_NA,36.088432150737354
Ameiurus melas_39.016739_NA,35.89859525513376
Ameiurus melas_42.08_NA,31.019257700235638
Ameiurus natalis_32.874_NA,39.55944479035541
Ameiurus natalis_39.201_NA,35.968879862243384
Ameiurus natalis_42.08_NA,31.019257700235638
Ameiurus nebulosus_39.92_NA,35.008011437800405
Ameiurus nebulosus_41.24_NA,33.58002854126249
Ameiurus nebulosus_41.65_NA,31.367083838555473
Ameiurus nebulosus_42.08_NA,31.019257700235638
Ameiurus nebulosus_43.64_NA,30.1589022098623
Ameiurus nebulosus_45.73_NA,30.169413988029483
Ameiurus nebulosus_45.83_NA,30.169413988029483
Anaxyrus americanus_34.683_NA,35.30120727196557
Anaxyrus americanus_35.255_NA,39.28265699532427
Anaxyrus americanus_42.878_NA,32.57724439503479
Anaxyrus boreas_34_304.8,33.63978957109179
Anaxyrus boreas_35_2743.2,27.291923872336252
Anaxyrus boreas_52_304.8,27.53305626338414
Anaxyrus cognatus_31_304.8,39.29024306108093
Anaxyrus cognatus_35.223_NA,39.28265699532427
Anaxyrus woodhousii_34.683_NA,35.30120727196557
Anaxyrus woodhousii_41.682_NA,NA
Anguilla australis_-35.15_37,NA
Anguilla australis_-35.15_NA,NA
Anguilla australis_-37.27_NA,NA
Anolis armouri_18.29_2318,NA
Anolis armouri_18.3_2020,NA
Anolis cybotes_17.96_45,NA
Anolis roquet_14.79_500,NA
Anolis roquet_14.8_650,NA
Anolis roquet_14.81_350,NA
Anolis roquet_14.82_175,NA
Anolis roquet_14.85_20,NA
Aplodinotus grunniens_38.34_NA,36.088432150737354
Aplodinotus grunniens_42.08_NA,31.019257700235638
Apogon dovii_2.97_NA,NA
Apogon dovii_2.99_NA,NA
Apogon dovii_7.33_NA,NA
Ascaphus truei_41.823_NA,32.160716560491835
Ascaphus truei_46.989_NA,31.379453206809995
