Family,Species,Location,Latitude,Longitude,Sampling Habitat,Acclimation,Temperature of acclimation (°C),Length acclimation period (days),Rate acclimation (°C/day),Methodology,Endpoint,Heating rate (°C/min),Length experiment (min),Body length (mm),Weight (g),Life stage,Thermal limit (°C),SD Thermal limit,Nindividuals,Phylogeny,Realm affinity,Source,Reference
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.8,NA,NA,static,death,NA,5760,NA,NA,larvae,30.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,1440,NA,NA,larvae,32,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,2880,NA,NA,larvae,32,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,5760,NA,NA,larvae,30.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Minessota US,46.78,-94.7,Freshwater,experimental,26,NA,NA,static,death,NA,5760,NA,NA,larvae,30.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Minessota US,46.78,-94.7,Freshwater,experimental,26,NA,NA,static,death,NA,5760,NA,NA,juveniles,32.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,British Columbia Canada,54.61,-124.91,Freshwater,experimental,23,NA,NA,dynamic,NA,NA,NA,NA,NA,larvae,37,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,British Columbia Canada,54.61,-124.91,Freshwater,experimental,28,NA,NA,dynamic,death,NA,NA,NA,NA,juveniles,40.6,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Lake Erie,42.08,-81.34,Freshwater,experimental,5,NA,NA,static,death,NA,NA,NA,NA,NA,26.3,NA,NA,yes,Freshwater,Spotila et al. 1979,186
Catostomidae,Catostomus commersonii,Lake Erie,42.08,-81.34,Freshwater,experimental,10,NA,NA,static,death,NA,NA,NA,NA,NA,27.7,NA,NA,yes,Freshwater,Spotila et al. 1979,186
Catostomidae,Catostomus commersonii,Lake Erie,42.08,-81.34,Freshwater,experimental,15,NA,NA,static,death,NA,NA,NA,NA,NA,29.3,NA,NA,yes,Freshwater,Spotila et al. 1979,186
Catostomidae,Catostomus commersonii,Lake Erie,42.08,-81.34,Freshwater,experimental,20,NA,NA,static,death,NA,NA,NA,NA,NA,29.3,NA,NA,yes,Freshwater,Spotila et al. 1979,186
Catostomidae,Catostomus commersonii,Lake Erie,42.08,-81.34,Freshwater,experimental,25,NA,NA,static,death,NA,NA,NA,NA,NA,29.3,NA,NA,yes,Freshwater,Spotila et al. 1979,186
Catostomidae,Catostomus commersonii,Lake Erie,42.08,-81.34,Freshwater,collection,19,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,31.6,NA,NA,yes,Freshwater,Spotila et al. 1979,186
Catostomidae,Hypentelium nigricans,Buffalo creek Erie County New York US,42.6,-78.47,Freshwater,experimental,15,28,NA,dynamic,OS,1,NA,NA,NA,NA,30.8,1.34,9,yes,Freshwater,Kowaski et al. 1978,108
Catostomidae,Hypentelium nigricans,New River drainage US,36.94,-81.05,Freshwater,experimental,18,7,1,static,death,NA,10080,50-100,NA,sub-adults,27,NA,NA,yes,Freshwater,Cherry et al. 1977,39
Catostomidae,Hypentelium nigricans,New River drainage US,36.94,-81.05,Freshwater,experimental,21,7,1,static,death,NA,10080,50-100,NA,sub-adults,30,NA,NA,yes,Freshwater,Cherry et al. 1977,39
Catostomidae,Hypentelium nigricans,New River drainage US,36.94,-81.05,Freshwater,experimental,24,7,1,static,death,NA,10080,50-100,NA,sub-adults,33,NA,NA,yes,Freshwater,Cherry et al. 1977,39
Catostomidae,Hypentelium nigricans,New River drainage US,36.94,-81.05,Freshwater,experimental,27,7,1,static,death,NA,10080,50-100,NA,sub-adults,33,NA,NA,yes,Freshwater,Cherry et al. 1977,39
Catostomidae,Hypentelium nigricans,New River drainage US,36.94,-81.05,Freshwater,experimental,30,7,1,static,death,NA,10080,50-100,NA,sub-adults,33,NA,NA,yes,Freshwater,Cherry et al. 1977,39
Catostomidae,Hypentelium nigricans,New River drainage US,36.94,-81.05,Freshwater,experimental,33,7,1,static,death,NA,10080,50-100,NA,sub-adults,34,NA,NA,yes,Freshwater,Cherry et al. 1977,39
Centrarchidae,Ambloplites rupestris,New River drainage US,36.94,-81.05,Freshwater,experimental,33,7,NA,static,death,NA,10080,50-100,NA,sub-adults,36,NA,10,yes,Freshwater,Cherry et al. 1977,39
Centrarchidae,Ambloplites rupestris,Lake Erie,42.08,-81.34,Freshwater,collection,14.6,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,31.2,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Ambloplites rupestris,Lake Erie,42.08,-81.34,Freshwater,collection,23.5,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,36,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,37.4,0.88,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,40.7,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,38.4,0.53,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,41.1,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,39.3,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,41.5,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis cyanellus,NA,NA,NA,Freshwater,experimental,20,NA,NA,dynamic,LOE,0.3,NA,NA,NA,NA,35.8,0.69,9,yes,Freshwater,Beitinger et al. 2000,12
Centrarchidae,Lepomis cyanellus,New River drainage US,38.16,-81.2,Freshwater,experimental,26,NA,NA,dynamic,LOE,0.017,NA,NA,NA,NA,37.9,0.75,8,yes,Freshwater,Beitinger et al. 2000,12
Centrarchidae,Lepomis cyanellus,Central Oklahoma US,35.66,-97.47,Freshwater,experimental,10,14,NA,dynamic,OS,1,NA,NA,NA,NA,34.18,2.06,15,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Centrarchidae,Lepomis cyanellus,Central Oklahoma US,35.66,-97.47,Freshwater,experimental,10,14,NA,dynamic,LOE,1,NA,NA,NA,NA,31.09,1.45,15,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Centrarchidae,Lepomis cyanellus,Brier Creek Oklahoma US,35.57,-97.63,Freshwater,experimental,15,NA,NA,dynamic,NA,NA,NA,NA,NA,adults,36.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Lepomis cyanellus,New River drainage US,38.16,-81.2,Freshwater,experimental,30,NA,NA,dynamic,NA,NA,NA,NA,NA,adults,35.4,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Lepomis gibbosus,Lake Erie,42.08,-81.34,Freshwater,collection,23.1,NA,NA,dynamic,LOE,NA,NA,NA,NA,juveniles,37.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,LOE,0.02,NA,NA,NA,NA,31.55,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,LOE,0.02,NA,NA,NA,NA,35.3,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,LOE,0.1,NA,NA,NA,NA,29.53,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,LOE,0.1,NA,NA,NA,NA,35.06,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,LOE,0.3,NA,NA,NA,NA,30.07,0.77,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,LOE,0.3,NA,NA,NA,NA,35.06,0.95,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,LOE,0.5,NA,NA,NA,NA,30.37,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,LOE,0.5,NA,NA,NA,NA,35.16,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,LOE,1,NA,NA,NA,NA,31.43,NA,32,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,LOE,1,NA,NA,NA,NA,36.56,NA,32,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,death,0.02,NA,NA,NA,NA,31.61,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,death,0.02,NA,NA,NA,NA,36.81,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,death,0.1,NA,NA,NA,NA,30.51,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,death,0.1,NA,NA,NA,NA,36.03,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,death,0.3,NA,NA,NA,NA,31.86,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,death,0.3,NA,NA,NA,NA,35.64,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,death,0.5,NA,NA,NA,NA,32.63,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,death,0.5,NA,NA,NA,NA,36.88,NA,24,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,10,14,1,dynamic,death,1,NA,NA,NA,NA,32.87,NA,32,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis gibbosus,Washington state US,47.37,-120.26,Freshwater,experimental,20,14,1,dynamic,death,1,NA,NA,NA,NA,38.12,NA,32,yes,Freshwater,Becker & Genoway 1979,10
Centrarchidae,Lepomis macrochirus,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,35.8,0.71,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis macrochirus,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,39.1,0.71,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis macrochirus,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,37.2,0.71,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis macrochirus,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,39.4,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis macrochirus,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,37.3,0.53,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis macrochirus,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,39.6,0.35,12,yes,Freshwater,Carveth et al. 2006,35
Centrarchidae,Lepomis macrochirus,New River drainage US,36.94,-81.05,Freshwater,experimental,33,7,NA,static,death,NA,10080,50-100,NA,sub-adults,36,NA,10,yes,Freshwater,Cherry et al. 1977,39
