internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
156003,Physella gyrina,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PHYSIDAE,Physella,gyrina,,,,,"(Say, 1821)",
166083,Carassius auratus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Carassius,auratus,,,,,"(Linnaeus, 1758)",<br/><span><span></span>
175246,Schoenoplectus tabernaemontani,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Schoenoplectus,tabernaemontani,,,,,(C.C. Gmel.) Palla ,"Some authorities treat&#160;<span style=""font-style: italic;"">Schoenoplectus tabernaemontani </span>as a subspecies of <span style=""font-style: italic;"">S.&#160;lacustris </span>(e.g., Sell and Murrell 1996, Castroviejo <span style=""font-style: italic;"">et al</span>. 2008) while others (such as TROPICOS) maintain it within <span style=""font-style: italic;"">Scirpus</span>. In Euro-Med checklist this is a synony of S. lacustris subsp. glaucus (Sm.) Bech (Euro+Med PlantBase).&#160;<br/><br/><span style=""font-style: italic;"">Schoenoplectus tabernaemontani</span> hybridises with <span style=""font-style: italic;"">S.&#160;triqueter</span> (L.) Palla and is reported to hybridise with <span style=""font-style: italic;"">S.&#160;lacustris</span>, however the latter is unproven whilst the former is not sufficiently frequent to affect the Red List assessment for this species (Jermy <span style=""font-style: italic;"">et al</span>. 2007)."
178902,Gibbonsia montereyensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CLINIDAE,Gibbonsia,montereyensis,,,,,"Hubbs, 1927",
178917,Gibbonsia metzi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CLINIDAE,Gibbonsia,metzi,,,,,"Hubbs, 1927",
179015,Heterostichus rostratus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CLINIDAE,Heterostichus,rostratus,,,,,"Girard, 1854",
180331,Mesothuria murrayi,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Mesothuria,murrayi,,,,,"(Théel,1886)","The taxonomy for this species is debated between the Atlantic and Pacific distributions (Hansen, 1956)."
180381,Pseudostichopus mollis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Pseudostichopus,mollis,,,,,"Théel, 1882",
180436,Parastichopus californicus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Parastichopus,californicus,,,,,"(Stimpson, 1857)","<em>Holothuria californica,</em> <em>Stichopus californicus,</em>&#160;and&#160;<em>Stichopus johnsonni&#160;</em>may be synonyms for this species. Was previously confused with <span style=""font-style: italic;"">S. fuscus.</span>"
180446,Holothuria stocki,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,stocki,,,,,"Cherbonnier, 1964",<em>Halodeima stocki </em>may be another name for this species.
190350,Avocettina infans,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,NEMICHTHYIDAE,Avocettina,infans,,,,,"(Günther, 1878)",
191792,Xiphophorus variatus,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,POECILIIDAE,Xiphophorus,variatus,,,,,"(Meek, 1904)",
193533,Acer circinatum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,circinatum,,,,,Pursh,
193830,Acer macrophyllum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,macrophyllum,,,,,Pursh,
195488,Squalus suckleyi,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SQUALIDAE,Squalus,suckleyi,,,,,"(Girard, 1854)","North Pacific Spiny Dogfish <em>Squalus suckleyi</em> (Girard, 1854) has a rather long and convoluted taxonomic history. It was first described in 1854 as a separate species from the well-known Spiny Dogfish (<em>Squalus acanthias</em>)&#160;but was subsequently synonymyzed as the same species even though its life history parameters, meristics, morphometrics, and molecular data suggested otherwise. A comparative study of its morphometrics and meristics, as well as a molecular study on this species complex have revealed it to be distinctive from the North Atlantic and other <em>S. acanthias</em> forms elsewhere (Ebert <em>et al.</em> 2010)."
199052,Bathycongrus varidens,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,CONGRIDAE,Bathycongrus,varidens,,,,,"(Garman, 1899)",
199408,Xenomystax atrarius,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,CONGRIDAE,Xenomystax,atrarius,,,,,"Gilbert, 1891",
3855,Carcharodon carcharias,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Carcharodon,carcharias,,,,,"(Linnaeus, 1758)",
39339,Alopias vulpinus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,vulpinus,,,,,"(Bonnaterre, 1788)","A study using allozymes as a genetic marker (Eitner 1995) indicated that an unrecognized fourth species of <em>Alopias</em> may exist, however this claim was based on data from a single shark specimen likely to have been <em>A. vulpinus</em>. Recent work investigating population structure of all three <em>Alopias</em> species using mitochondrial DNA control region sequences (Trejo 2005) has found no evidence indicating that a fourth species of thresher sharks exists."
39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,,"Rafinesque, 1810",
39381,Prionace glauca,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Prionace,glauca,,,,,"(Linnaeus, 1758)",
4292,Cetorhinus maximus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,CETORHINIDAE,Cetorhinus,maximus,,,,,"(Gunnerus, 1765)",
62192,Catostomus catostomus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CATOSTOMIDAE,Catostomus,catostomus,,,,,"(Forster, 1773)",
10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
11534,Lepidochelys olivacea,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELONIIDAE,Lepidochelys,olivacea,,,,,"(Eschscholtz, 1829)",
12130,Lithasia jayana,ANIMALIA,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PLEUROCERIDAE,Lithasia,jayana,,,,,"I. Lea, 1841","Genus name<em> Lithasia</em> Haldeman, 1840 is actually a junior synonym of <em>Ellipstoma </em>Rafinesque, 1818, but Minton and Bogan (2003) have successfully suppressed <em>Ellipstoma</em> in favour of the better known <span style=""font-style: italic;"">Lithasia</span> (ICZN 2005).  Based on molecular and limited morphological phylogenenetics, Minton and Lydeard (2003) have determined that <em>Lithasia fuliginosa</em> is a composite of what were formerly <em>Lithasia duttoniana, Lithasia geniculata fuligonosa, Lithasia geniculata geniculata, Lithasia geniculata pinguis, </em>and<em> possibly Lithasia jayana </em>all from the Duck River, Tennessee, wherein<em> L. jayana</em> may be a synonym of <em>Lithasia armigera</em>.<br/><br/>Minton and Lydeard (2003) recorded one specimen from Duck River, and proposed synonymy with <em>fuliginosa</em>. Dillon and Johnson found no difference with <em>duttoniana</em> and proposed that it was synonymous. Further work is needed to ascertain taxonomy. In an unpublished review this species is synonymized with<em>&#160;armigera</em>&#160;(Minton unpublished)."
13243,Mesoplodon carlhubbsi,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,carlhubbsi,,,,,"Moore, 1963","In the past, there was some suggestion that this species may simply be a subspecies of <i>M. bowdoini</i> (and some previous records were erroneously attributed to that species), but recent genetic studies confirm its specific distinctness (Dalebout <i>et al</i>. 1998, 2004)."
13252,Mesoplodon stejnegeri,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,stejnegeri,,,,,"True, 1885",
