internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
156003,Physella gyrina,"Physa gyrina Say, 1821",Physa,gyrina,"Say, 1821",,
166083,Carassius auratus,"Carassius  auratus Linnaeus, 1758 ssp. argenteaphthalmus  Nguyen, 2001",Carassius ,auratus,"Linnaeus, 1758",subspecies," Nguyen, 2001"
166083,Carassius auratus,"Cyprinus auratus Linnaeus, 1758",Cyprinus,auratus,"Linnaeus, 1758",,
166083,Carassius auratus,"Carassius  burgeri Temminck & Schlegel, 1846",Carassius ,burgeri,"Temminck & Schlegel, 1846",,
166083,Carassius auratus,"Carassius   auratus (Linnaeus, 1758) ssp. cantonensis Tchang, 1933",Carassius  ,auratus,"(Linnaeus, 1758)",subspecies,"Tchang, 1933"
166083,Carassius auratus,"Cyprinus  chinensis Gronow, 1854",Cyprinus ,chinensis,"Gronow, 1854",,
166083,Carassius auratus,"Carassius  coeruleus Basilewsky, 1855",Carassius ,coeruleus,"Basilewsky, 1855",,
166083,Carassius auratus,"Carassius  discolor Basilewsky, 1855",Carassius ,discolor,"Basilewsky, 1855",,
166083,Carassius auratus,"Carassius  encobia Bonaparte, 1845",Carassius ,encobia,"Bonaparte, 1845",,
166083,Carassius auratus,"Cyprinus gibelioides Cantor, 1842",Cyprinus,gibelioides,"Cantor, 1842",,
166083,Carassius auratus,"Carassius discolor  Basilewsky, 1855",Carassius,discolor," Basilewsky, 1855",,
166083,Carassius auratus,"Carassius  encobia Bonaparte, 1845",Carassius ,encobia,"Bonaparte, 1845",,
166083,Carassius auratus,"Cyprinus gibelioides Cantor, 1842",Cyprinus,gibelioides,"Cantor, 1842",,
166083,Carassius auratus,"Carassius  grandoculis Temminck & Schlegel, 1846",Carassius ,grandoculis,"Temminck & Schlegel, 1846",,
166083,Carassius auratus,"Carassius  langsdorfii Temminck & Schlegel, 1846",Carassius ,langsdorfii,"Temminck & Schlegel, 1846",,
166083,Carassius auratus,"Cyprinus  maillardi Guichenot, 3",Cyprinus ,maillardi,"Guichenot, 3",,
166083,Carassius auratus,"Cyprinus  nigrescens Günther, 1868",Cyprinus ,nigrescens,"Günther, 1868",,
166083,Carassius auratus,"Cyprinus mauritianus  Bennett, 1832",Cyprinus,mauritianus," Bennett, 1832",,
166083,Carassius auratus,Cyprinus  thoracatus Valenciennes 1842,Cyprinus ,thoracatus,Valenciennes 1842,,
166083,Carassius auratus,"Carassius  pekinensis Basilewsky, 1855",Carassius ,pekinensis,"Basilewsky, 1855",,
166083,Carassius auratus," Carassius  auratus (Linnaeus, 1758) ssp. wui Tchang, 1930", Carassius ,auratus,"(Linnaeus, 1758)",subspecies,"Tchang, 1930"
166083,Carassius auratus,"Neocarassius ventricosus  Castelnau, 1872",Neocarassius,ventricosus," Castelnau, 1872",,
175246,Schoenoplectus tabernaemontani,Schoenoplectus validus (Vahl) A.Love & D.Love,Schoenoplectus,validus,(Vahl) A.Love & D.Love,,
178902,Gibbonsia montereyensis,"Gibbonsia elegans ssp. montereyensis Hubbs, 1927",Gibbonsia,elegans,,subspecies,"Hubbs, 1927"
178902,Gibbonsia montereyensis,"Gibbonsia erythra Hubbs, 1952",Gibbonsia,erythra,"Hubbs, 1952",,
190350,Avocettina infans,"Avocettina gilli (Bean, 1890)",Avocettina,gilli,"(Bean, 1890)",,
