Species,Body_size,body_size_metric,body_size_unit,Weight,body_size_ref,Dispersal_category,Dispersal_ref,Fecundity,Longevity,BodyShapeI,AnaCat
Acipenser brevirostrum,143,TL,cm,23000,Fishbase,benthic devepment and swimming adults,Fishbase,99000,67,elongated,anadromous
Ambassis ambassis,143,TL,cm,23000,Fishbase,benthic devepment and swimming adults,Fishbase,30000,67,elongated,anadromous
Anguilla australis australis,15,TL,cm,NA,Fishbase,,Fishbase,NA,NA,short and / or deep,oceanodromous
Apogon dovii,130,TL,cm,7480,Fishbase,pelagic development,Fishbase,10000000,32,eel-like,catadromous
Apogon pacificus,7.5,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
Lipophrys pholis,10,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,NA
Lipophrys trigloides,5.52,TL,cm,NA,Fishbase,,Fishbase,NA,10,fusiform / normal,non-migratory
Carpiodes cyprinus,13,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
Catostomus clarkii,66,TL,cm,2940,Fishbase,,Fishbase,63779,11,fusiform / normal,NA
Catostomus commersonii,33,TL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,NA
Hypentelium nigricans,65,TL,cm,2940,Fishbase,benthic devepment and swimming adults,Fishbase,50000,12,fusiform / normal,NA
Ambloplites rupestris,61,TL,cm,480,Fishbase,,Fishbase,NA,NA,elongated,potamodromous
Lepomis cyanellus,43,TL,cm,1360,Fishbase,benthic devepment and swimming adults,Fishbase,5000,18,short and / or deep,NA
Lepomis gibbosus,43,TL,cm,1360,Fishbase,benthic devepment and swimming adults,Fishbase,11000,18,short and / or deep,NA
Lepomis macrochirus,31,TL,cm,960,Fishbase,,Fishbase,NA,9,short and / or deep,NA
Lepomis megalotis,40,TL,cm,630,Fishbase,benthic devepment and swimming adults,Fishbase,NA,12,short and / or deep,potamodromous
Micropterus dolomieu,41,TL,cm,2150,Fishbase,,Fishbase,NA,10,short and / or deep,NA
Micropterus punctulatus,24,TL,cm,790,Fishbase,,Fishbase,NA,6,short and / or deep,NA
Micropterus salmoides,69,TL,cm,5410,Fishbase,benthic devepment and swimming adults,Fishbase,14000,26,fusiform / normal,NA
Pomoxis annularis,63.5,TL,cm,4650,Fishbase,,Fishbase,NA,7,fusiform / normal,NA
Pomoxis nigromaculatus,97,TL,cm,10090,Fishbase,benthic devepment and swimming adults,Fishbase,25000,23,fusiform / normal,NA
Lates calcarifer,53,TL,cm,2350,Fishbase,,Fishbase,147800,10,short and / or deep,NA
Chaenocephalus aceratus,49,TL,cm,2720,Fishbase,,Fishbase,65520,15,short and / or deep,NA
Chionodraco rastrospinosus,200,TL,cm,60000,Fishbase,pelagic development,Fishbase,47700000,NA,fusiform / normal,catadromous
Gymnocharacinus bergii,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,22626,NA,elongated,NA
Etroplus suratensis,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,19672,NA,elongated,NA
Oreochromis mossambicus,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,18039,NA,elongated,NA
Cirrhitichthys oxycephalus,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,22626,NA,elongated,NA
Alosa pseudoharengus,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,15174,NA,elongated,NA
Dorosoma cepedianum,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,NA,NA,elongated,NA
Sardinops sagax,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,9425,NA,elongated,NA
Cottus bairdii,72,TL,cm,3700,Fishbase,pelagic development,Fishbase,12450,NA,elongated,NA
Cottus carolinae,52,TL,cm,NA,Fishbase,pelagic development,Fishbase,4094,NA,elongated,NA
Cottus gobio,52,TL,cm,NA,Fishbase,pelagic development,Fishbase,5216,NA,elongated,NA
Agosia chrysogaster,7.5,TL,cm,NA,Fishbase,,Fishbase,200,NA,elongated,NA
Campostoma anomalum,40,TL,cm,NA,Fishbase,,Fishbase,6000,NA,short and / or deep,NA
Carassius auratus,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,NA,11,fusiform / normal,amphidromous
Carassius carassius,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,NA,11,fusiform / normal,amphidromous
Chrosomus erythrogaster,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,1236,11,fusiform / normal,amphidromous
Couesius plumbeus,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,3169,11,fusiform / normal,amphidromous
Ctenopharyngodon idella,39,SL,cm,1130,Fishbase,non-pelagic devepment and swimming adults,Fishbase,1775,11,fusiform / normal,amphidromous
